작가,작품수,의미흐름_유사도,개념유사도_평균,당혹도_PPL,버스트성_어절,버스트성_글자,네트워크밀도,네트워크군집도,네트워크이행성,정보엔트로피,가독성_LIX
공선옥,10,0.3681136011571208,0.5004239295463245,1595.3483420086516,0.8367319006753565,0.8446833366220046,0.21551020408163266,0.5647580219395578,0.4110484517430894,8.529276886756847,34.35062690685247
구효서,2,0.31851354549495403,0.46715773180805076,7371.420622131443,0.9129143813762574,0.9165155616308658,0.5730612244897959,0.6716270885976768,0.6542152159013023,8.678545573272118,34.29790928660951
김경,7,0.3480628148115823,0.4683674490142075,417.2320388414247,0.6074976185342279,0.6043382917821625,0.17760932944606414,0.4357845454333066,0.3987106664617019,8.241881675656682,33.558836903841375
김동리,3,0.41355994407963675,0.5697862865004225,47683.87081829478,0.7928390528914356,0.7838844194810933,0.22421768707482992,0.5429235062059582,0.423970714851007,8.463566429230843,32.24447778909927
김동인,5,0.36946911213155864,0.5249045616381276,2833.0200825773654,0.8189288441552709,0.825744994930424,0.1746938775510204,0.5394169274521838,0.39461523849265007,8.295037252097618,29.34987563618737
김성동,10,0.3851738744109962,0.5320209287093932,12196.9555116072,1.0485089792973392,1.0770432214870724,0.27289795918367343,0.5713169873558845,0.4669670398892024,8.840740222535226,38.5009285387388
김성한,3,0.3307403483168294,0.4942855654789266,17298.147493681085,0.8243645451344994,0.789138875639281,0.07537414965986394,0.3435057600351718,0.3878203335072939,8.414503662913228,31.12622398620607
김소진,9,0.34458798126313916,0.5142668213929672,8261.68350794906,0.7572396966482097,0.7800017445542115,0.15936507936507938,0.4448989872264301,0.3539421735392842,9.129891416709143,37.57685280045372
김승옥,2,0.3304131790702579,0.4918395742631769,5529.122773152232,0.9950654069597241,0.999066649644042,0.17959183673469387,0.4530706324921431,0.36106737036006664,8.272239802833681,30.98381796135063
김영현,8,0.3249299700168966,0.48287915645901297,1952.2970106521186,0.674235302891969,0.673355542520565,0.22448979591836737,0.4892496946227824,0.387504865071002,8.66440658216824,36.18832124527877
김원우,5,0.3596671470287269,0.5062156202004457,957.8690991819898,1.072446028475859,1.0940756217826906,0.45910204081632655,0.657677302665091,0.600121228160784,9.079422518954193,39.098644890932455
김원일,2,0.3628996787754002,0.5096450899870422,6512.757014672693,0.6292854547164359,0.6150260934886206,0.16489795918367345,0.4392173922482746,0.33430678329896923,8.680066668804244,31.431541925638797
김유정,13,0.4121027580673866,0.5920685940074228,6232.274605836867,0.6692622619425974,0.6760616248902678,0.13783359497645215,0.41650118179342677,0.3333481407843997,8.700547540308442,29.87803883262415
김종광,20,0.3409248978796464,0.4904813902835471,6225.126029480192,0.8347527050879423,0.8549336080714365,0.1877551020408163,0.4643642715916559,0.39155640228737976,8.659790985427431,34.35518201224662
김주영,2,0.45219614452474854,0.6139434364982423,4286.643375157754,0.7714669446222895,0.7852044246109455,0.5955102040816327,0.672080519672,0.6537615596822441,9.479833967542014,43.56732095393345
김준성,8,0.3368679761738185,0.4924983393587385,5194.9857789967555,0.7430602237986795,0.7384381788829633,0.3256122448979592,0.5737425343038685,0.47741573514497915,8.310622767643808,35.76720688552145
